image_name,prompt_a,prompt_b,prompt_c,negative_prompt,guidance_scale,beta,log_weight,Adapter_A,Adapter_B,StrengthA,StrengthB
11.png,"Japanese animation girl eating a hamburger, voxel style","Japanese animation girl eating a hamburger, sexy style","A japanese animation girl eating a hamburger, voxel and sexy style","blurry, low_quality, distorted",7.5,0.5,-4098.703125
12.png,"Japanese animation girl eating a hamburger, voxel style","Japanese animation girl eating a hamburger, sexy style","A japanese animation girl eating a hamburger, voxel and sexy style","blurry, low_quality, distorted",7.5,0.5,-4697.5625
13.png,"Japanese animation girl eating a hamburger, voxel style","Japanese animation girl eating a hamburger, sexy style","A japanese animation girl eating a hamburger, voxel and sexy style","blurry, low_quality, distorted",7.5,0.5,-4317.171875
14.png,"Japanese animation girl eating a hamburger, voxel style","Japanese animation girl eating a hamburger, sexy style","A japanese animation girl eating a hamburger, voxel and sexy style","blurry, low_quality, distorted",7.5,0.5,-4729.625
15.png,"Japanese animation girl eating a hamburger, voxel style","Japanese animation girl eating a hamburger, sexy style","A japanese animation girl eating a hamburger, voxel and sexy style","blurry, low_quality, distorted",7.5,0.5,-4018.640625
16.png,"Japanese animation girl eating a hamburger, voxel style","Japanese animation girl eating a hamburger, sexy style","A japanese animation girl eating a hamburger, voxel and sexy style","blurry, low_quality, distorted",7.5,0.5,-3804.5
17.png,"Japanese animation girl eating a hamburger, voxel style","Japanese animation girl eating a hamburger, sexy style","A japanese animation girl eating a hamburger, voxel and sexy style","blurry, low_quality, distorted",7.5,0.5,-4753.328125
18.png,"Japanese animation girl eating a hamburger, voxel style","Japanese animation girl eating a hamburger, sexy style","A japanese animation girl eating a hamburger, voxel and sexy style","blurry, low_quality, distorted",7.5,0.5,-4431.0625
19.png,"Japanese animation girl eating a hamburger, voxel style","Japanese animation girl eating a hamburger, sexy style","A japanese animation girl eating a hamburger, voxel and sexy style","blurry, low_quality, distorted",7.5,0.5,-4393.203125
20.png,"Japanese animation girl eating a hamburger, voxel style","Japanese animation girl eating a hamburger, sexy style","A japanese animation girl eating a hamburger, voxel and sexy style","blurry, low_quality, distorted",7.5,0.5,-4080.515625
21.png,"Japanese animation girl eating a hamburger, voxel style","Japanese animation girl eating a hamburger, sexy style","A japanese animation girl eating a hamburger, voxel and sexy style","blurry, low_quality, distorted",7.5,0.5,-4187.53125
22.png,"Japanese animation girl eating a hamburger, voxel style","Japanese animation girl eating a hamburger, sexy style","A japanese animation girl eating a hamburger, voxel and sexy style","blurry, low_quality, distorted",7.5,0.5,-5027.234375
23.png,"Japanese animation girl eating a hamburger, voxel style","Japanese animation girl eating a hamburger, sexy style","A japanese animation girl eating a hamburger, voxel and sexy style","blurry, low_quality, distorted",7.5,0.5,-4458.546875
24.png,"Japanese animation girl eating a hamburger, voxel style","Japanese animation girl eating a hamburger, sexy style","A japanese animation girl eating a hamburger, voxel and sexy style","blurry, low_quality, distorted",7.5,0.5,-3462.0
25.png,"Japanese animation girl eating a hamburger, voxel style","Japanese animation girl eating a hamburger, sexy style","A japanese animation girl eating a hamburger, voxel and sexy style","blurry, low_quality, distorted",7.5,0.5,-4990.640625
26.png,"Japanese animation girl eating a hamburger, voxel style","Japanese animation girl eating a hamburger, sexy style","A japanese animation girl eating a hamburger, voxel and sexy style","blurry, low_quality, distorted",7.5,0.5,-5244.96875
27.png,"Japanese animation girl eating a hamburger, voxel style","Japanese animation girl eating a hamburger, sexy style","A japanese animation girl eating a hamburger, voxel and sexy style","blurry, low_quality, distorted",7.5,0.5,-4009.953125
